id_tabungan,counter_tabungan,tanggal_nabung,nama_goal,target_nominal,nominal_nabung,total_terkumpul,sisa_target,status,jarak_hari_nabung,persentase_terkumpul
TAB-0166,6,2022-04-03,Modal Nikah/Tunangan,85960000,6539463,48563230,37396770,Belum Selesai,29,56.5
TAB-0166,7,2022-04-20,Modal Nikah/Tunangan,85960000,9751309,58314539,27645461,Belum Selesai,17,67.84
TAB-0166,8,2022-05-07,Modal Nikah/Tunangan,85960000,7667702,65982241,19977759,Belum Selesai,17,76.76
TAB-0166,9,2022-06-07,Modal Nikah/Tunangan,85960000,7602483,73584724,12375276,Belum Selesai,31,85.6
TAB-0166,10,2022-06-28,Modal Nikah/Tunangan,85960000,9980929,83565653,2394347,Belum Selesai,21,97.21
TAB-0166,11,2022-07-24,Modal Nikah/Tunangan,85960000,2394347,85960000,0,Selesai,26,100.0
TAB-0167,1,2022-02-04,Beli Sepeda Lipat/Fixie,3690000,348000,746348,2943652,Belum Selesai,0,20.23
TAB-0167,2,2022-03-02,Beli Sepeda Lipat/Fixie,3690000,397533,1143881,2546119,Belum Selesai,26,31.0
TAB-0167,3,2022-03-19,Beli Sepeda Lipat/Fixie,3690000,355290,1499171,2190829,Belum Selesai,17,40.63
TAB-0167,4,2022-04-01,Beli Sepeda Lipat/Fixie,3690000,383891,1883062,1806938,Belum Selesai,13,51.03
TAB-0167,5,2022-04-29,Beli Sepeda Lipat/Fixie,3690000,360651,2243713,1446287,Belum Selesai,28,60.81
TAB-0167,6,2022-05-26,Beli Sepeda Lipat/Fixie,3690000,398000,2642238,1047762,Belum Selesai,27,71.61
TAB-0167,7,2022-06-13,Beli Sepeda Lipat/Fixie,3690000,402929,3045167,644833,Belum Selesai,18,82.52
TAB-0167,8,2022-06-24,Beli Sepeda Lipat/Fixie,3690000,390302,3435469,254531,Belum Selesai,11,93.1
TAB-0167,9,2022-07-24,Beli Sepeda Lipat/Fixie,3690000,254531,3690000,0,Selesai,30,100.0
TAB-0168,1,2024-02-06,Modal Nikah/Tunangan,85780000,1921770,10060634,75719366,Belum Selesai,0,11.73
TAB-0168,2,2024-03-22,Modal Nikah/Tunangan,85780000,1728489,1728489,84051511,Belum Selesai,45,2.02
TAB-0168,3,2024-04-30,Modal Nikah/Tunangan,85780000,1983909,5926689,79853311,Belum Selesai,39,6.91
TAB-0168,4,2024-05-07,Modal Nikah/Tunangan,85780000,2212175,8138864,77641136,Belum Selesai,7,9.49
TAB-0168,5,2024-07-03,Modal Nikah/Tunangan,85780000,1937020,11997654,73782346,Belum Selesai,57,13.99
TAB-0168,6,2024-08-01,Modal Nikah/Tunangan,85780000,1942178,13939832,71840168,Belum Selesai,29,16.25
TAB-0169,1,2021-03-08,Outfit Wisuda/Kondangan,1120000,71555,71555,1048445,Belum Selesai,0,6.39
TAB-0169,2,2021-03-26,Outfit Wisuda/Kondangan,1120000,67987,139542,980458,Belum Selesai,18,12.46
TAB-0169,3,2021-04-17,Outfit Wisuda/Kondangan,1120000,69078,208620,911380,Belum Selesai,22,18.63
TAB-0169,4,2021-05-14,Outfit Wisuda/Kondangan,1120000,73593,341667,778333,Belum Selesai,27,30.51
TAB-0169,5,2021-06-10,Outfit Wisuda/Kondangan,1120000,66830,408497,711503,Belum Selesai,27,36.47
TAB-0169,6,2021-06-12,Outfit Wisuda/Kondangan,1120000,72758,1040642,79358,Belum Selesai,2,92.91
TAB-0169,7,2021-07-09,Outfit Wisuda/Kondangan,1120000,72658,481155,638845,Belum Selesai,27,42.96
TAB-0169,8,2021-07-22,Outfit Wisuda/Kondangan,1120000,70887,552042,567958,Belum Selesai,13,49.29
TAB-0169,9,2021-08-10,Outfit Wisuda/Kondangan,1120000,81056,633098,486902,Belum Selesai,19,56.53
TAB-0169,10,2021-08-25,Outfit Wisuda/Kondangan,1120000,72000,705981,414019,Belum Selesai,15,63.03
TAB-0169,11,2021-09-22,Outfit Wisuda/Kondangan,1120000,65446,771427,348573,Belum Selesai,28,68.88
TAB-0169,12,2021-10-21,Outfit Wisuda/Kondangan,1120000,62498,833925,286075,Belum Selesai,29,74.46
TAB-0169,13,2021-11-17,Outfit Wisuda/Kondangan,1120000,63000,897364,222636,Belum Selesai,27,80.12
TAB-0169,14,2021-11-29,Outfit Wisuda/Kondangan,1120000,70520,967884,152116,Belum Selesai,12,86.42
TAB-0169,15,2022-01-04,Outfit Wisuda/Kondangan,1120000,61966,1102608,17392,Belum Selesai,36,98.45
TAB-0169,16,2022-01-24,Outfit Wisuda/Kondangan,1120000,17392,1120000,0,Selesai,20,100.0
TAB-0170,1,2021-10-05,Outfit Wisuda/Kondangan,410000,107683,107683,302317,Belum Selesai,0,26.26
TAB-0170,2,2021-10-24,Outfit Wisuda/Kondangan,410000,97345,205028,204972,Belum Selesai,19,50.01
TAB-0170,3,2021-11-05,Outfit Wisuda/Kondangan,410000,81519,286547,123453,Belum Selesai,12,69.89
TAB-0170,4,2021-11-15,Outfit Wisuda/Kondangan,410000,101577,388124,21876,Belum Selesai,10,94.66
TAB-0170,5,2021-11-23,Outfit Wisuda/Kondangan,410000,21876,410000,0,Selesai,8,100.0
TAB-0171,1,2020-12-15,Dana Darurat,14150000,1518188,1518188,12631812,Belum Selesai,0,10.73
TAB-0171,2,2020-12-22,Dana Darurat,14150000,1487925,3006113,11143887,Belum Selesai,7,21.24
TAB-0171,3,2021-01-01,Dana Darurat,7160000,1254037,4260150,9889850,Belum Selesai,10,59.5
TAB-0171,4,2021-01-15,Dana Darurat,14150000,1271161,5531311,8618689,Belum Selesai,14,39.09
TAB-0171,5,2021-02-05,Dana Darurat,14150000,1546000,7077385,7072615,Belum Selesai,21,50.02
TAB-0171,6,2021-02-27,Dana Darurat,14150000,1557175,8634560,5515440,Belum Selesai,22,61.02
TAB-0171,7,2021-03-10,Dana Darurat,14150000,1275802,9910362,4239638,Belum Selesai,11,70.04
TAB-0171,8,2021-03-20,Dana Darurat,14150000,1552325,11462687,2687313,Belum Selesai,10,81.01
TAB-0171,9,2021-04-07,Dana Darurat,14150000,1195000,12658580,1491420,Belum Selesai,18,89.46
TAB-0171,10,2021-05-07,Dana Darurat,14150000,1487177,14145757,4243,Belum Selesai,30,99.97
TAB-0171,11,2021-06-02,Dana Darurat,14150000,4243,14150000,0,Selesai,26,100.0
TAB-0172,1,2022-03-08,Tanpa Nama,4850000,1610531,1610531,3239469,Belum Selesai,0,33.21
TAB-0172,2,2022-03-30,Tanpa Nama,4850000,1464000,3075114,1774886,Belum Selesai,22,63.4
TAB-0172,3,2022-04-21,Tanpa Nama,4850000,1676515,4751629,98371,Belum Selesai,22,97.97
TAB-0173,1,2021-02-07,Kado Hari Ibu/Ultah Ortu,2450000,276000,823865,1626135,Belum Selesai,0,33.63
TAB-0173,2,2021-06-02,Kado Hari Ibu/Ultah Ortu,2450000,252732,252732,2197268,Belum Selesai,115,10.32
TAB-0173,3,2021-06-14,Kado Hari Ibu/Ultah Ortu,2450000,294212,546944,1903056,Belum Selesai,12,22.32
TAB-0173,4,2021-07-24,Kado Hari Ibu/Ultah Ortu,2450000,250719,1074584,1375416,Belum Selesai,40,43.86
TAB-0173,5,2021-08-09,Kado Hari Ibu/Ultah Ortu,2450000,217832,1292416,1157584,Belum Selesai,16,52.75
TAB-0173,6,2021-08-30,Kado Hari Ibu/Ultah Ortu,2450000,275970,1568386,881614,Belum Selesai,21,64.02
TAB-0174,1,2020-04-17,Modal Nikah/Tunangan,15350000,1476000,1476770,13873230,Belum Selesai,0,9.62
TAB-0174,2,2020-05-01,Modal Nikah/Tunangan,15350000,1583887,3060657,12289343,Belum Selesai,14,19.94
TAB-0174,3,2020-05-22,Modal Nikah/Tunangan,15350000,1653105,4713762,10636238,Belum Selesai,21,30.71
TAB-0174,4,2020-06-13,Modal Nikah/Tunangan,15350000,1561646,6275408,9074592,Belum Selesai,22,40.88
TAB-0174,5,2020-06-20,Modal Nikah/Tunangan,15350000,1823282,8098690,7251310,Belum Selesai,7,52.76
TAB-0174,6,2020-07-21,Modal Nikah/Tunangan,15350000,1838000,9937158,5412842,Belum Selesai,31,64.74
TAB-0174,7,2020-08-18,Modal Nikah/Tunangan,15350000,1536999,11474157,3875843,Belum Selesai,28,74.75
TAB-0174,8,2020-09-14,Modal Nikah/Tunangan,15350000,1549842,13023999,2326001,Belum Selesai,27,84.85
TAB-0174,9,2020-10-13,Modal Nikah/Tunangan,15350000,1514155,14538154,811846,Belum Selesai,29,94.71
TAB-0174,10,2020-10-29,Modal Nikah/Tunangan,15350000,811846,15350000,0,Selesai,16,100.0
TAB-0175,1,2022-01-08,Liburan Ke Bali/Jogja,5060000,1088417,4866163,193837,Belum Selesai,0,96.17
TAB-0175,2,2022-04-25,Liburan Ke Bali/Jogja,5060000,775754,775754,4284246,Belum Selesai,107,15.33
TAB-0175,3,2022-05-26,Liburan Ke Bali/Jogja,5060000,1046000,1822612,3237388,Belum Selesai,31,36.02
TAB-0175,4,2022-06-06,Liburan Ke Bali/Jogja,5060000,959659,2782271,2277729,Belum Selesai,11,54.99
TAB-0176,1,2022-07-04,Beli Laptop Skripsi,10450000,1297693,1297693,9152307,Belum Selesai,0,12.42
TAB-0176,2,2022-07-28,Beli Laptop Skripsi,10450000,1121178,2418871,8031129,Belum Selesai,24,23.15
TAB-0176,3,2022-08-11,Beli Laptop Skripsi,10450000,892901,3311772,7138228,Belum Selesai,14,31.69
TAB-0176,4,2022-09-01,Beli Laptop Skripsi,10450000,1032937,4344709,6105291,Belum Selesai,21,41.58
TAB-0176,5,2022-09-15,Beli Laptop Skripsi,10450000,1042839,5387548,5062452,Belum Selesai,14,51.56
TAB-0176,6,2022-10-07,Beli Laptop Skripsi,10450000,1103786,6491334,3958666,Belum Selesai,22,62.12
TAB-0176,7,2022-10-16,Beli Laptop Skripsi,10450000,1179085,7670419,2779581,Belum Selesai,9,73.4
TAB-0176,8,2022-11-16,Beli Laptop Skripsi,10450000,1030165,8700584,1749416,Belum Selesai,31,83.26
TAB-0176,9,2022-11-27,Beli Laptop Skripsi,10450000,1065369,9765953,684047,Belum Selesai,11,93.45
TAB-0176,10,2022-12-16,Beli Laptop Skripsi,10450000,684047,10450000,0,Selesai,19,100.0
TAB-0177,1,2022-05-31,Beli Kamera Analog/Mirrorless,6590000,673637,673637,5916363,Belum Selesai,0,10.22
TAB-0177,2,2022-06-17,Beli Kamera Analog/Mirrorless,6590000,642390,1316027,5273973,Belum Selesai,17,19.97
TAB-0177,3,2022-07-07,Beli Kamera Analog/Mirrorless,6590000,539011,1855038,4734962,Belum Selesai,20,28.15
TAB-0177,4,2022-08-02,Beli Kamera Analog/Mirrorless,6590000,585409,2440447,4149553,Belum Selesai,26,37.03
TAB-0177,5,2022-08-17,Beli Kamera Analog/Mirrorless,6590000,602727,3043174,3546826,Belum Selesai,15,46.18
TAB-0177,6,2022-09-12,Beli Kamera Analog/Mirrorless,6590000,612865,4282686,2307314,Belum Selesai,26,64.99
TAB-0178,1,2022-03-16,Monitor External,3700000,416575,416575,3283425,Belum Selesai,0,11.26
TAB-0178,2,2022-04-08,Monitor External,3700000,359732,776307,2923693,Belum Selesai,23,20.98
TAB-0178,3,2022-05-07,Monitor External,3700000,389562,1165869,2534131,Belum Selesai,29,31.51
TAB-0178,4,2022-05-20,Monitor External,3700000,383679,1549548,2150452,Belum Selesai,13,41.88
TAB-0178,5,2022-06-16,Monitor External,3700000,411999,1961547,1738453,Belum Selesai,27,53.01
TAB-0178,6,2022-06-29,Monitor External,3700000,388662,2350209,1349791,Belum Selesai,13,63.52
TAB-0178,7,2022-07-27,Monitor External,3700000,384047,2734256,965744,Belum Selesai,28,73.9
TAB-0178,8,2022-08-15,Monitor External,3700000,329775,3064031,635969,Belum Selesai,19,82.81
TAB-0178,9,2022-08-29,Monitor External,3700000,362145,3426176,273824,Belum Selesai,14,92.6
TAB-0178,10,2022-09-15,Monitor External,3700000,273824,3700000,0,Selesai,17,100.0
TAB-0179,1,2021-11-08,Beli Sepeda Lipat/Fixie,1290000,1172360,1172360,117640,Belum Selesai,0,90.88
TAB-0179,2,2021-11-29,Beli Sepeda Lipat/Fixie,1290000,117640,1290000,0,Selesai,21,100.0
TAB-0180,1,2022-05-11,Dana Darurat,7640000,1068654,1068654,6571346,Belum Selesai,0,13.99
TAB-0180,2,2022-05-19,Dana Darurat,7640000,831425,1900079,5739921,Belum Selesai,8,24.87
TAB-0180,3,2022-06-09,Dana Darurat,7640000,648496,2548575,5091425,Belum Selesai,21,33.36
TAB-0180,4,2022-06-17,Dana Darurat,7640000,662005,3210580,4429420,Belum Selesai,8,42.02
TAB-0180,5,2022-07-11,Dana Darurat,7640000,728493,3939073,3700927,Belum Selesai,24,51.56
TAB-0180,6,2022-07-19,Dana Darurat,7640000,769651,4708724,2931276,Belum Selesai,8,61.63
TAB-0180,7,2022-08-11,Dana Darurat,7640000,763789,5472513,2167487,Belum Selesai,23,71.63
TAB-0180,8,2022-10-11,Dana Darurat,7640000,807308,6978354,661646,Belum Selesai,61,91.34
TAB-0180,9,2022-11-09,Dana Darurat,7640000,698533,6171046,1468954,Belum Selesai,29,80.77
TAB-0181,1,2024-03-11,Modal Nikah/Tunangan,93000000,10415988,36000526,56999474,Belum Selesai,0,38.71
TAB-0181,2,2024-09-26,Modal Nikah/Tunangan,93000000,7992715,7992715,85007285,Belum Selesai,199,8.59
TAB-0181,3,2024-10-16,Modal Nikah/Tunangan,93000000,8527569,25584538,67415462,Belum Selesai,20,27.51
TAB-0181,4,2024-12-04,Modal Nikah/Tunangan,93000000,9093656,45094182,47905818,Belum Selesai,49,48.49
TAB-0181,5,2024-12-18,Modal Nikah/Tunangan,93000000,7674878,52769060,40230940,Belum Selesai,14,56.74
TAB-0181,6,2025-01-17,Modal Nikah/Tunangan,93000000,8187872,60956932,32043068,Belum Selesai,30,65.55
TAB-0181,7,2025-02-03,Modal Nikah/Tunangan,93000000,11374115,72331047,20668953,Belum Selesai,17,77.78
TAB-0181,8,2025-02-11,Modal Nikah/Tunangan,93000000,9435706,81766753,11233247,Belum Selesai,8,87.92
TAB-0181,9,2025-03-10,Modal Nikah/Tunangan,93000000,10573133,92339886,660114,Belum Selesai,27,99.29
TAB-0181,10,2025-03-28,Modal Nikah/Tunangan,93000000,660114,93000000,0,Selesai,18,100.0
TAB-0182,1,2021-07-08,Rakit Pc Gaming,24690000,24690000,24690000,0,Selesai,0,100.0
TAB-0183,1,2021-09-14,Monitor External,1330000,143958,143958,1186042,Belum Selesai,0,10.82
TAB-0183,2,2021-09-22,Monitor External,1330000,116722,260680,1069320,Belum Selesai,8,19.6
TAB-0183,3,2021-10-20,Monitor External,133000000,125149,385829,944171,Belum Selesai,28,0.29
TAB-0183,4,2021-11-19,Monitor External,1330000,121606,507435,822565,Belum Selesai,30,38.15
TAB-0183,5,2021-12-13,Monitor External,1330000,131271,638706,691294,Belum Selesai,24,48.02
TAB-0183,6,2021-12-23,Monitor External,1330000,121898,760604,569396,Belum Selesai,10,57.19
TAB-0184,1,2021-06-16,Rakit Pc Gaming,21100000,2233000,2233890,18866110,Belum Selesai,0,10.59
TAB-0184,2,2021-07-01,Rakit Pc Gaming,21100000,2134276,4368166,16731834,Belum Selesai,15,20.7
TAB-0184,3,2021-07-31,Rakit Pc Gaming,21100000,2212000,6581052,14518948,Belum Selesai,30,31.19
TAB-0184,4,2021-08-28,Rakit Pc Gaming,21100000,1755523,8336575,12763425,Belum Selesai,28,39.51
TAB-0184,5,2021-09-21,Rakit Pc Gaming,21100000,2269065,10605640,10494360,Belum Selesai,24,50.26
TAB-0184,6,2021-10-07,Rakit Pc Gaming,21100000,2479694,13085334,8014666,Belum Selesai,16,62.02
TAB-0184,7,2021-11-01,Rakit Pc Gaming,21100000,2011795,15097129,6002871,Belum Selesai,25,71.55
TAB-0185,1,2022-01-07,Beli Game Steam/Ps,330000,36412,36412,293588,Belum Selesai,0,11.03
TAB-0185,2,2022-01-23,Beli Game Steam/Ps,330000,36325,72737,257263,Belum Selesai,16,22.04
TAB-0185,3,2022-01-31,Beli Game Steam/Ps,330000,38910,111647,218353,Belum Selesai,8,33.83
TAB-0185,4,2022-02-19,Beli Game Steam/Ps,330000,29014,140661,189339,Belum Selesai,19,42.62
TAB-0185,5,2022-02-26,Beli Game Steam/Ps,330000,33171,173832,156168,Belum Selesai,7,52.68
TAB-0185,6,2022-03-17,Beli Game Steam/Ps,330000,36927,210759,119241,Belum Selesai,19,63.87
TAB-0185,7,2022-04-14,Beli Game Steam/Ps,330000,36166,246925,83075,Belum Selesai,28,74.83
TAB-0185,8,2022-04-23,Beli Game Steam/Ps,330000,37494,284419,45581,Belum Selesai,9,86.19
TAB-0185,9,2022-05-10,Beli Game Steam/Ps,330000,35443,319862,10138,Belum Selesai,17,96.93
TAB-0185,10,2022-05-31,Beli Game Steam/Ps,330000,10138,330000,0,Selesai,21,100.0
TAB-0186,1,2022-04-25,Dana Darurat,7500000,777331,777331,6722669,Belum Selesai,0,10.36
TAB-0186,2,2022-06-12,Dana Darurat,7500000,699535,2195416,5304584,Belum Selesai,48,29.27
TAB-0186,3,2022-07-09,Dana Darurat,7500000,822000,3017429,4482571,Belum Selesai,27,40.23
TAB-0186,4,2022-08-07,Dana Darurat,7500000,771257,3788686,3711314,Belum Selesai,29,50.52
TAB-0186,5,2022-09-06,Dana Darurat,7500000,720040,4508726,2991274,Belum Selesai,30,60.12
TAB-0186,6,2022-10-03,Dana Darurat,7500000,746259,5254985,2245015,Belum Selesai,27,70.07
TAB-0186,7,2022-10-20,Dana Darurat,7500000,727418,5982403,1517597,Belum Selesai,17,79.77
TAB-0186,8,2022-11-08,Dana Darurat,7500000,789768,6772171,727829,Belum Selesai,19,90.3
TAB-0187,1,2021-12-17,Bayar Ukt Semester Depan,4220000,519792,519792,3700208,Belum Selesai,0,12.32
TAB-0187,2,2021-12-28,Bayar Ukt Semester Depan,4220000,404018,923810,3296190,Belum Selesai,11,21.89
TAB-0187,3,2022-01-09,Bayar Ukt Semester Depan,4220000,387111,1310921,2909079,Belum Selesai,12,31.06
TAB-0187,4,2022-01-22,Bayar Ukt Semester Depan,4220000,429496,1740417,2479583,Belum Selesai,13,41.24
TAB-0187,5,2022-02-15,Bayar Ukt Semester Depan,4220000,467535,2207952,2012048,Belum Selesai,24,52.32
TAB-0187,6,2022-03-18,Bayar Ukt Semester Depan,4220000,422468,2630420,1589580,Belum Selesai,31,62.33
TAB-0187,7,2022-04-06,Bayar Ukt Semester Depan,4220000,487118,3117538,1102462,Belum Selesai,19,73.88
TAB-0187,8,2022-05-04,Bayar Ukt Semester Depan,4220000,373703,3491241,728759,Belum Selesai,28,82.73
TAB-0187,9,2022-05-27,Bayar Ukt Semester Depan,4220000,486130,3977371,242629,Belum Selesai,23,94.25
TAB-0187,10,2022-06-12,Bayar Ukt Semester Depan,4220000,242629,4220000,0,Selesai,16,100.0
TAB-0188,1,2021-01-09,Kado Hari Ibu/Ultah Ortu,2460000,26295,26295,2433705,Belum Selesai,0,1.07
TAB-0188,2,2021-01-25,Kado Hari Ibu/Ultah Ortu,2460000,32703,58998,2401002,Belum Selesai,16,2.4
TAB-0188,3,2021-02-06,Kado Hari Ibu/Ultah Ortu,2460000,26117,85115,2374885,Belum Selesai,12,3.46
TAB-0188,4,2021-02-27,Kado Hari Ibu/Ultah Ortu,2460000,32565,117680,2342320,Belum Selesai,21,4.78
TAB-0188,5,2021-03-20,Kado Hari Ibu/Ultah Ortu,2460000,30408,148088,2311912,Belum Selesai,21,6.02
TAB-0188,6,2021-04-20,Kado Hari Ibu/Ultah Ortu,2460000,30626,178714,2281286,Belum Selesai,31,7.26
TAB-0188,7,2021-05-20,Kado Hari Ibu/Ultah Ortu,2460000,36904,215618,2244382,Belum Selesai,30,8.76
TAB-0189,1,2021-07-10,Dp Motor Baru,7950000,85078,167166,7782834,Belum Selesai,0,2.1
TAB-0189,2,2021-07-29,Dp Motor Baru,7950000,80892,248058,7701942,Belum Selesai,19,3.12
TAB-0189,3,2021-08-15,Dp Motor Baru,7950000,84040,332098,7617902,Belum Selesai,17,4.18
TAB-0189,4,2021-09-02,Dp Motor Baru,7950000,74356,406454,7543546,Belum Selesai,18,5.11
TAB-0189,5,2021-09-20,Dp Motor Baru,7950000,74542,480996,7469004,Belum Selesai,18,6.05
TAB-0189,6,2021-10-04,Dp Motor Baru,7950000,73117,554113,7395887,Belum Selesai,14,6.97
TAB-0189,7,2021-11-02,Dp Motor Baru,7950000,75228,629341,7320659,Belum Selesai,29,7.92
TAB-0189,8,2021-11-06,Dp Motor Baru,7950000,82088,82088,7867912,Belum Selesai,4,1.03
TAB-0189,9,2021-12-09,Dp Motor Baru,7950000,69854,773502,7176498,Belum Selesai,33,9.73
TAB-0189,10,2022-01-14,Dp Motor Baru,7950000,77559,927427,7022573,Belum Selesai,36,11.67
TAB-0189,11,2022-02-11,Dp Motor Baru,7950000,78635,1006062,6943938,Belum Selesai,28,12.65
TAB-0189,12,2022-03-14,Dp Motor Baru,7950000,81387,1087449,6862551,Belum Selesai,31,13.68
TAB-0189,13,2022-04-01,Dp Motor Baru,7950000,85132,1172581,6777419,Belum Selesai,18,14.75
TAB-0189,14,2022-04-18,Dp Motor Baru,7950000,87758,1260339,6689661,Belum Selesai,17,15.85
TAB-0189,15,2022-04-28,Dp Motor Baru,7950000,66154,1326493,6623507,Belum Selesai,10,16.69
TAB-0189,16,2022-05-19,Dp Motor Baru,7950000,78904,1405397,6544603,Belum Selesai,21,17.68
TAB-0189,17,2022-06-08,Dp Motor Baru,7950000,86930,1492327,6457673,Belum Selesai,20,18.77
TAB-0189,18,2022-06-19,Dp Motor Baru,7950000,76969,1569296,6380704,Belum Selesai,11,19.74
TAB-0189,19,2022-06-27,Dp Motor Baru,7950000,97681,1666977,6283023,Belum Selesai,8,20.97
TAB-0189,20,2022-07-01,Dp Motor Baru,7950000,76366,849868,7100132,Belum Selesai,4,10.69
TAB-0189,21,2022-07-10,Dp Motor Baru,7950000,72790,1739767,6210233,Belum Selesai,9,21.88
TAB-0189,22,2022-08-04,Dp Motor Baru,7950000,77053,1816820,6133180,Belum Selesai,25,22.85
TAB-0189,23,2022-08-19,Dp Motor Baru,7950000,71708,1888528,6061472,Belum Selesai,15,23.76
TAB-0189,24,2022-09-10,Dp Motor Baru,7950000,72823,1961351,5988649,Belum Selesai,22,24.67
TAB-0189,25,2022-09-18,Dp Motor Baru,7950000,68490,2029841,5920159,Belum Selesai,8,25.53
TAB-0189,26,2022-10-03,Dp Motor Baru,7950000,75943,2105784,5844216,Belum Selesai,15,26.49
TAB-0189,27,2022-10-31,Dp Motor Baru,7950000,84928,2190712,5759288,Belum Selesai,28,27.56
TAB-0189,28,2022-11-24,Dp Motor Baru,7950000,73406,2264118,5685882,Belum Selesai,24,28.48
TAB-0189,29,2022-12-16,Dp Motor Baru,7950000,69941,2334059,5615941,Belum Selesai,22,29.36
TAB-0189,30,2022-12-29,Dp Motor Baru,7950000,76975,2411034,5538966,Belum Selesai,13,30.33
TAB-0189,31,2023-01-28,Dp Motor Baru,7950000,70643,2481677,5468323,Belum Selesai,30,31.22
TAB-0189,32,2023-02-23,Dp Motor Baru,7950000,79813,2561490,5388510,Belum Selesai,26,32.22
TAB-0189,33,2023-03-26,Dp Motor Baru,7950000,78431,2639921,5310079,Belum Selesai,31,33.21
TAB-0189,34,2023-04-22,Dp Motor Baru,7950000,78519,2718440,5231560,Belum Selesai,27,34.19
TAB-0189,35,2023-05-12,Dp Motor Baru,7950000,83781,2802221,5147779,Belum Selesai,20,35.25
TAB-0189,36,2023-05-30,Dp Motor Baru,7160000,79337,2881558,5068442,Belum Selesai,18,40.25
TAB-0189,37,2023-06-29,Dp Motor Baru,7950000,79304,2960862,4989138,Belum Selesai,30,37.24
TAB-0189,38,2023-07-12,Dp Motor Baru,7950000,84494,3045356,4904644,Belum Selesai,13,38.31
TAB-0189,39,2023-08-05,Dp Motor Baru,7950000,74162,3119518,4830482,Belum Selesai,24,39.24
TAB-0189,40,2023-08-16,Dp Motor Baru,7950000,81291,3200809,4749191,Belum Selesai,11,40.26
TAB-0189,41,2023-08-24,Dp Motor Baru,7950000,65625,3266434,4683566,Belum Selesai,8,41.09
TAB-0189,42,2023-09-05,Dp Motor Baru,7950000,74255,3340689,4609311,Belum Selesai,12,42.02
TAB-0189,43,2023-09-20,Dp Motor Baru,7950000,88162,3428851,4521149,Belum Selesai,15,43.13
TAB-0189,44,2023-10-04,Dp Motor Baru,7950000,80020,3508871,4441129,Belum Selesai,14,44.14
TAB-0189,45,2023-10-19,Dp Motor Baru,7950000,89089,3597960,4352040,Belum Selesai,15,45.26
TAB-0189,46,2023-10-26,Dp Motor Baru,7950000,89792,3687752,4262248,Belum Selesai,7,46.39
TAB-0189,47,2023-11-09,Dp Motor Baru,7950000,76869,3764621,4185379,Belum Selesai,14,47.35
TAB-0189,48,2023-11-18,Dp Motor Baru,7950000,79017,3843638,4106362,Belum Selesai,9,48.35
TAB-0189,49,2023-12-02,Dp Motor Baru,7950000,77388,3921026,4028974,Belum Selesai,14,49.32
TAB-0189,50,2024-01-01,Dp Motor Baru,7950000,75833,3996859,3953141,Belum Selesai,30,50.27
TAB-0189,51,2024-03-26,Dp Motor Baru,7950000,77826,4248063,3701937,Belum Selesai,85,53.43
TAB-0189,52,2024-04-08,Dp Motor Baru,7950000,77598,4325661,3624339,Belum Selesai,13,54.41
TAB-0189,53,2024-05-01,Dp Motor Baru,7950000,91140,4416801,3533199,Belum Selesai,23,55.56
TAB-0189,54,2024-06-04,Dp Motor Baru,7950000,64746,4574797,3375203,Belum Selesai,34,57.54
TAB-0189,55,2024-06-15,Dp Motor Baru,7950000,79672,4654469,3295531,Belum Selesai,11,58.55
TAB-0189,56,2024-06-30,Dp Motor Baru,7950000,76000,4730662,3219338,Belum Selesai,15,59.51
TAB-0189,57,2024-07-31,Dp Motor Baru,7950000,58094,4788756,3161244,Belum Selesai,31,60.24
TAB-0189,58,2024-08-05,Dp Motor Baru,7950000,93250,4510051,3439949,Belum Selesai,5,56.73
TAB-0189,59,2024-09-19,Dp Motor Baru,7950000,72550,4936523,3013477,Belum Selesai,45,62.09
TAB-0189,60,2024-11-05,Dp Motor Baru,7950000,88505,5103877,2846123,Belum Selesai,47,64.2
TAB-0189,61,2024-12-01,Dp Motor Baru,7950000,83588,5187465,2762535,Belum Selesai,26,65.25
TAB-0189,62,2024-12-11,Dp Motor Baru,7950000,91199,5278664,2671336,Belum Selesai,10,66.4
TAB-0189,63,2025-01-01,Dp Motor Baru,7950000,66759,5345423,2604577,Belum Selesai,21,67.24
TAB-0189,64,2025-01-14,Dp Motor Baru,7950000,89944,5435367,2514633,Belum Selesai,13,68.37
TAB-0189,65,2025-01-28,Dp Motor Baru,7950000,71786,5507153,2442847,Belum Selesai,14,69.27
TAB-0189,66,2025-02-21,Dp Motor Baru,7950000,67672,5574825,2375175,Belum Selesai,24,70.12
TAB-0189,67,2025-03-24,Dp Motor Baru,7950000,80080,5654905,2295095,Belum Selesai,31,71.13
TAB-0189,68,2025-04-05,Dp Motor Baru,7950000,87910,5742815,2207185,Belum Selesai,12,72.24
TAB-0189,69,2025-04-23,Dp Motor Baru,7950000,68617,5811432,2138568,Belum Selesai,18,73.1
TAB-0189,70,2025-05-16,Dp Motor Baru,7950000,87343,5898775,2051225,Belum Selesai,23,74.2
TAB-0189,71,2025-06-08,Dp Motor Baru,7950000,79857,5978632,1971368,Belum Selesai,23,75.2
TAB-0189,72,2025-06-16,Dp Motor Baru,7950000,103309,6081941,1868059,Belum Selesai,8,76.5
TAB-0189,73,2025-07-14,Dp Motor Baru,7950000,73353,6155294,1794706,Belum Selesai,28,77.43
